,by,descendants,id,kids,score,time,title,type,url,text
0,jjgreen,32.0,40316788,"[40317870, 40317802, 40317845, 40317611, 40317259, 40317412, 40317315, 40317284]",55,1715331665,Is the largest root of a random polynomial more likely to be real than complex?,story,https://mathoverflow.net/questions/470951/is-the-largest-root-of-a-random-polynomial-more-likely-to-be-real-than-complex,
1,bookofjoe,42.0,40315970,"[40316730, 40317289, 40316081, 40316151, 40316049, 40316284, 40316495, 40317093, 40317390]",90,1715322694,Roman Tyrian purple snail dye found in UK for first time,story,https://www.bbc.com/news/articles/cjje132jvygo,
2,bwidlar,53.0,40316010,"[40316620, 40316827, 40316187, 40317048, 40317319, 40316239, 40317104, 40316535, 40316538]",80,1715323124,"Elvish, expressive programming language and a versatile interactive shell",story,https://elv.sh,
3,todsacerdoti,222.0,40310896,"[40312343, 40314017, 40316445, 40312569, 40311952, 40311226, 40311681, 40311969, 40312209, 40315540, 40311522, 40313160, 40312363, 40311950, 40311441, 40311836, 40312871, 40314525, 40314063, 40315062, 40313860, 40313514, 40314546, 40314892, 40311944, 40314352, 40313633, 40313031, 40313978, 40315585, 40312536, 40313285, 40314139, 40316886]",701,1715277289,It's always TCP_NODELAY,story,https://brooker.co.za/blog/2024/05/09/nagle.html,
4,jsnell,25.0,40265928,"[40317355, 40316791, 40316772, 40316901, 40316203, 40317575, 40317491, 40316193, 40317013]",62,1714925550,I was at the clapperboard for Orson Welles' drunk wine commercial (2021),story,https://melmagazine.com/en-us/story/orson-welles-drunk-wine-commercial,
5,kotk,6.0,40297642,"[40317716, 40317602, 40317072]",58,1715173392,Logicola 3,story,https://medium.com/@malikpiara/introducing-logicola-3-1aa4047ee335,
6,linguae,457.0,40313733,"[40317673, 40317105, 40317194, 40317283, 40317321, 40317622, 40314035, 40317872, 40317841, 40317070, 40317587, 40317528, 40317735, 40314034, 40317557, 40314122, 40316624, 40317271, 40317508, 40317788, 40317116, 40314075, 40317017, 40317659, 40314040, 40313951, 40316295, 40314281, 40317256, 40313908, 40317677, 40317844, 40316361, 40317744, 40317297, 40317640, 40313985, 40313993, 40316858, 40317365, 40317252, 40317468, 40313898, 40316353, 40317774, 40314020, 40313999, 40316476, 40317195, 40317222, 40316272, 40316292, 40317579, 40315537, 40316729, 40316323, 40317150, 40317154, 40316260, 40317074, 40317007, 40317598, 40313981, 40314091, 40317540, 40316999, 40317451, 40317435, 40317373, 40317078, 40317288, 40314076, 40313914, 40314028, 40316916, 40316934, 40314081, 40316777, 40316696, 40314052, 40316481, 40314563, 40314098, 40317065, 40317441, 40316871, 40313965, 40313907, 40313943, 40314001, 40314164, 40316310, 40316411, 40317132, 40316544, 40314172, 40317247, 40317248, 40317747, 40313925, 40313953, 40316564, 40317018, 40317422]",206,1715295005,Apple apologizes for iPad 'Crush' ad that 'missed the mark',story,https://www.theverge.com/2024/5/9/24153113/apple-ipad-ad-crushing-apology,
7,coffeeaddict1,6.0,40316814,"[40317350, 40317808, 40317642]",12,1715331965,Trip C++Now 2024 – think-cell,story,https://www.think-cell.com/en/career/devblog/trip-report-cpp-now-2024,
8,benbreen,36.0,40315434,"[40315623, 40316273, 40316189, 40315879, 40316233, 40316480, 40315678, 40316543, 40315598, 40315829, 40315699]",80,1715313929,Player-Driven Emergence in LLM-Driven Game Narrative,story,https://arxiv.org/abs/2404.17027,
9,geox,64.0,40291012,"[40316630, 40292539, 40316417, 40316300, 40316393, 40316110, 40317490, 40316993, 40316918, 40299079, 40316945, 40316301, 40291142, 40316362, 40316424, 40316394, 40316668, 40299031, 40316713]",106,1715113409,Sound-suppressing silk can create quiet spaces,story,https://news.mit.edu/2024/sound-suppressing-silk-can-create-quiet-spaces-0507,
